iter	Passed	Remaining
652	1197	636
653	1199	634
654	1201	632
655	1203	630
656	1204	628
657	1206	626
658	1207	624
659	1208	622
660	1210	620
661	1213	619
662	1214	617
663	1216	615
664	1217	613
665	1219	611
666	1220	609
667	1222	607
668	1223	605
669	1224	603
670	1226	601
671	1228	599
672	1229	597
673	1231	595
674	1232	593
675	1234	591
676	1235	589
677	1237	587
678	1238	585
679	1239	583
680	1242	581
681	1244	580
682	1245	577
683	1246	575
684	1248	574
685	1249	571
686	1250	569
687	1252	567
688	1253	565
689	1254	563
690	1256	561
691	1257	559
692	1259	558
693	1261	556
694	1262	554
695	1265	552
696	1266	550
697	1267	548
698	1269	546
699	1271	544
700	1272	542
701	1274	541
702	1275	539
703	1277	537
704	1278	535
705	1280	533
706	1282	531
707	1283	529
708	1284	527
709	1286	525
710	1288	523
711	1289	521
712	1291	519
713	1296	519
714	1298	517
715	1300	515
716	1303	514
717	1305	512
718	1306	510
719	1309	509
720	1311	507
721	1313	505
722	1314	503
723	1315	501
724	1320	500
725	1322	499
726	1324	497
727	1326	495
728	1327	493
729	1329	491
730	1330	489
731	1332	487
732	1334	486
733	1337	484
734	1339	482
735	1341	481
736	1343	479
737	1344	477
738	1346	475
739	1347	473
740	1349	471
741	1351	469
742	1352	467
743	1354	465
744	1355	463
745	1357	462
746	1358	460
747	1360	458
748	1361	456
749	1363	454
750	1364	452
751	1366	450
752	1367	448
753	1369	446
754	1370	444
755	1371	442
756	1373	440
757	1374	438
758	1375	436
759	1377	434
760	1378	433
761	1380	431
762	1381	429
763	1383	427
764	1384	425
765	1385	423
766	1387	421
767	1388	419
768	1389	417
769	1390	415
770	1392	413
771	1393	411
772	1395	409
773	1396	407
774	1398	406
775	1399	404
776	1401	402
777	1402	400
778	1403	398
779	1404	396
780	1406	394
781	1407	392
782	1409	390
783	1410	388
784	1412	386
785	1413	384
786	1415	382
787	1416	381
788	1417	379
789	1418	377
790	1419	375
791	1422	373
792	1423	371
793	1425	369
794	1426	367
795	1428	366
796	1429	364
797	1430	362
798	1432	360
799	1433	358
800	1434	356
801	1436	354
802	1438	352
803	1439	350
804	1440	349
805	1443	347
806	1444	345
807	1446	343
808	1447	341
809	1448	339
810	1449	337
811	1452	336
812	1453	334
813	1455	332
814	1456	330
815	1458	328
816	1459	326
817	1460	324
818	1462	323
819	1463	321
820	1464	319
821	1467	317
822	1468	315
823	1470	313
824	1471	312
825	1472	310
826	1474	308
827	1475	306
828	1477	304
829	1478	302
830	1479	300
831	1482	299
832	1484	297
833	1485	295
834	1487	293
835	1489	292
836	1490	290
837	1491	288
838	1492	286
839	1493	284
840	1495	282
841	1497	280
842	1498	279
843	1500	277
844	1501	275
845	1503	273
846	1504	271
847	1505	269
848	1507	268
849	1508	266
850	1509	264
851	1511	262
852	1513	260
853	1514	258
854	1516	257
855	1517	255
856	1518	253
857	1520	251
858	1521	249
859	1523	247
860	1524	246
861	1525	244
862	1527	242
863	1528	240
864	1530	238
865	1531	236
866	1532	235
867	1533	233
868	1535	231
869	1536	229
870	1537	227
871	1538	225
872	1540	224
873	1541	222
874	1543	220
875	1544	218
876	1545	216
877	1547	215
878	1548	213
879	1550	211
880	1551	209
881	1552	207
882	1554	205
883	1556	204
884	1558	202
885	1559	200
886	1560	198
887	1562	197
888	1563	195
889	1564	193
890	1566	191
891	1567	189
892	1568	187
893	1571	186
894	1573	184
895	1574	182
896	1575	180
897	1577	179
898	1578	177
899	1580	175
900	1581	173
901	1582	171
902	1583	170
903	1585	168
904	1587	166
905	1588	164
906	1589	163
907	1591	161
908	1592	159
909	1593	157
910	1594	155
911	1596	154
912	1597	152
913	1598	150
914	1599	148
915	1601	146
916	1603	145
917	1604	143
918	1605	141
919	1606	139
920	1608	137
921	1609	136
922	1610	134
923	1612	132
924	1613	130
925	1614	129
926	1616	127
927	1617	125
928	1618	123
929	1620	121
930	1621	120
931	1622	118
932	1624	116
933	1625	114
934	1627	113
935	1628	111
936	1631	109
937	1632	107
938	1633	106
939	1635	104
940	1636	102
941	1637	100
942	1639	99
943	1640	97
944	1641	95
945	1643	93
946	1645	92
947	1646	90
948	1648	88
949	1649	86
950	1651	85
951	1653	83
952	1654	81
953	1655	79
954	1656	78
955	1657	76
956	1659	74
957	1661	72
958	1662	71
959	1664	69
960	1665	67
961	1666	65
962	1668	64
963	1669	62
964	1670	60
965	1671	58
966	1672	57
967	1675	55
968	1677	53
969	1678	51
970	1680	50
971	1681	48
972	1683	46
973	1684	44
974	1686	43
975	1687	41
976	1688	39
977	1690	38
978	1692	36
979	1693	34
980	1694	32
981	1696	31
982	1697	29
983	1698	27
984	1700	25
985	1701	24
986	1702	22
987	1704	20
988	1705	18
989	1707	17
990	1708	15
991	1709	13
992	1711	12
993	1712	10
994	1713	8
995	1715	6
996	1716	5
997	1717	3
998	1719	1
999	1720	0
